2025-12-10 20:18:48 | YEŞİL | VLD_TFPR_011 | V=0 | KM=1,379 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:37 | NORMAL | VLD_TFPR_009 | V=1.471 | KM=4,389 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:39 | NORMAL | VLD_TFPR_003 | V=1.515 | KM=12,081 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:06:39 | NORMAL | VLD_TFPR_004 | V=1.516 | KM=10,386 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:06:39 | NORMAL | VLD_TFPR_006 | V=1.518 | KM=8,234 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:39 | NORMAL | VLD_TFPR_009 | V=1.485 | KM=4,389 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:06:39 | NORMAL | VLD_TFPR_010 | V=1.481 | KM=3,299 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:41 | NORMAL | VLD_TFPR_001 | V=1.510 | KM=15,391 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:41 | NORMAL | VLD_TFPR_002 | V=1.520 | KM=13,873 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:06:41 | YEŞİL | VLD_TFPR_004 | V=1.318 | KM=10,386 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:06:41 | NORMAL | VLD_TFPR_009 | V=1.488 | KM=4,389 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:06:41 | NORMAL | VLD_TFPR_012 | V=1.482 | KM=0,136 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:44 | NORMAL | VLD_TFPR_003 | V=1.519 | KM=12,081 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:06:44 | NORMAL | VLD_TFPR_007 | V=1.485 | KM=7,102 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:44 | NORMAL | VLD_TFPR_009 | V=1.477 | KM=4,389 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:06:46 | NORMAL | VLD_TFPR_002 | V=1.521 | KM=13,873 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:06:46 | NORMAL | VLD_TFPR_003 | V=1.519 | KM=12,081 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:06:46 | NORMAL | VLD_TFPR_004 | V=1.528 | KM=10,386 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:06:46 | NORMAL | VLD_TFPR_010 | V=1.489 | KM=3,299 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:06:48 | NORMAL | VLD_TFPR_006 | V=1.515 | KM=8,234 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:49 | NORMAL | VLD_TFPR_003 | V=1.513 | KM=12,081 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:06:49 | NORMAL | VLD_TFPR_004 | V=1.520 | KM=10,386 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:06:49 | NORMAL | VLD_TFPR_012 | V=1.488 | KM=0,136 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:51 | NORMAL | VLD_TFPR_002 | V=1.520 | KM=13,873 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:06:51 | NORMAL | VLD_TFPR_004 | V=1.512 | KM=10,386 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:06:51 | NORMAL | VLD_TFPR_007 | V=1.483 | KM=7,102 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:52 | NORMAL | VLD_TFPR_005 | V=1.521 | KM=9,070 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:52 | NORMAL | VLD_TFPR_006 | V=1.513 | KM=8,234 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:54 | NORMAL | VLD_TFPR_003 | V=1.521 | KM=12,081 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:06:54 | NORMAL | VLD_TFPR_004 | V=1.526 | KM=10,386 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:06:54 | YEŞİL | VLD_TFPR_005 | V=0 | KM=9,070 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:54 | NORMAL | VLD_TFPR_009 | V=1.478 | KM=4,389 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:06:54 | NORMAL | VLD_TFPR_011 | V=1.480 | KM=1,379 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:55 | YEŞİL | VLD_TFPR_012 | V=1.278 | KM=0,136 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:56 | NORMAL | VLD_TFPR_004 | V=1.517 | KM=10,386 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:06:56 | NORMAL | VLD_TFPR_009 | V=1.477 | KM=4,389 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:06:57 | NORMAL | VLD_TFPR_003 | V=1.515 | KM=12,081 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:06:59 | NORMAL | VLD_TFPR_011 | V=1.483 | KM=1,379 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:00 | NORMAL | VLD_TFPR_003 | V=1.522 | KM=12,081 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:07:00 | NORMAL | VLD_TFPR_004 | V=1.522 | KM=10,386 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:07:00 | NORMAL | VLD_TFPR_005 | V=1.519 | KM=9,070 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:01 | NORMAL | VLD_TFPR_002 | V=1.515 | KM=13,873 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:07:02 | NORMAL | VLD_TFPR_004 | V=1.523 | KM=10,386 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:07:03 | YEŞİL | VLD_TFPR_006 | V=0 | KM=8,234 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:07:04 | NORMAL | VLD_TFPR_002 | V=1.526 | KM=13,873 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:07:04 | NORMAL | VLD_TFPR_003 | V=1.527 | KM=12,081 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:07:04 | NORMAL | VLD_TFPR_004 | V=1.516 | KM=10,386 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:07:04 | NORMAL | VLD_TFPR_007 | V=1.482 | KM=7,102 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:07:04 | NORMAL | VLD_TFPR_010 | V=1.479 | KM=3,299 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:06 | NORMAL | VLD_TFPR_009 | V=1.483 | KM=4,389 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:07:06 | NORMAL | VLD_TFPR_012 | V=1.488 | KM=0,136 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:07:07 | YEŞİL | VLD_TFPR_005 | V=1.719 | KM=9,070 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:08 | NORMAL | VLD_TFPR_007 | V=1.484 | KM=7,102 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:08 | NORMAL | VLD_TFPR_009 | V=1.472 | KM=4,389 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | YEŞİL | VLD_TFPR_001 | V=0 | KM=15,391 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | NORMAL | VLD_TFPR_002 | V=1.528 | KM=13,873 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | NORMAL | VLD_TFPR_003 | V=1.528 | KM=12,081 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | NORMAL | VLD_TFPR_006 | V=1.511 | KM=8,234 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | NORMAL | VLD_TFPR_008 | V=1.475 | KM=5,781 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:07:10 | NORMAL | VLD_TFPR_009 | V=1.479 | KM=4,389 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:07:13 | NORMAL | VLD_TFPR_003 | V=1.514 | KM=12,081 | Tekrar=18 | Tren=0 | Hız=0,0
2025-12-10 21:07:13 | NORMAL | VLD_TFPR_004 | V=1.516 | KM=10,386 | Tekrar=18 | Tren=0 | Hız=0,0
2025-12-10 21:07:16 | NORMAL | VLD_TFPR_004 | V=1.515 | KM=10,386 | Tekrar=19 | Tren=0 | Hız=0,0
2025-12-10 21:07:16 | NORMAL | VLD_TFPR_008 | V=1.486 | KM=5,781 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:07:16 | NORMAL | VLD_TFPR_012 | V=1.484 | KM=0,136 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:17 | NORMAL | VLD_TFPR_003 | V=1.525 | KM=12,081 | Tekrar=19 | Tren=0 | Hız=0,0
2025-12-10 21:07:17 | NORMAL | VLD_TFPR_009 | V=1.476 | KM=4,389 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:07:19 | NORMAL | VLD_TFPR_005 | V=1.519 | KM=9,070 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:07:19 | NORMAL | VLD_TFPR_011 | V=1.476 | KM=1,379 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:20 | NORMAL | VLD_TFPR_003 | V=1.529 | KM=12,081 | Tekrar=20 | Tren=0 | Hız=0,0
2025-12-10 21:07:20 | NORMAL | VLD_TFPR_008 | V=1.476 | KM=5,781 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:07:20 | NORMAL | VLD_TFPR_012 | V=1.486 | KM=0,136 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:21 | NORMAL | VLD_TFPR_004 | V=1.525 | KM=10,386 | Tekrar=20 | Tren=0 | Hız=0,0
2025-12-10 21:07:21 | NORMAL | VLD_TFPR_005 | V=1.518 | KM=9,070 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:07:21 | NORMAL | VLD_TFPR_011 | V=1.481 | KM=1,379 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:07:23 | NORMAL | VLD_TFPR_002 | V=1.518 | KM=13,873 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:07:24 | NORMAL | VLD_TFPR_004 | V=1.512 | KM=10,386 | Tekrar=21 | Tren=0 | Hız=0,0
2025-12-10 21:07:24 | NORMAL | VLD_TFPR_006 | V=1.517 | KM=8,234 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:24 | YEŞİL | VLD_TFPR_010 | V=1.325 | KM=3,299 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:07:25 | NORMAL | VLD_TFPR_003 | V=1.527 | KM=12,081 | Tekrar=21 | Tren=0 | Hız=0,0
2025-12-10 21:07:25 | NORMAL | VLD_TFPR_011 | V=1.487 | KM=1,379 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:07:27 | NORMAL | VLD_TFPR_010 | V=1.488 | KM=3,299 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:07:27 | NORMAL | VLD_TFPR_011 | V=1.483 | KM=1,379 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:07:28 | NORMAL | VLD_TFPR_005 | V=1.514 | KM=9,070 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:07:28 | NORMAL | VLD_TFPR_006 | V=1.515 | KM=8,234 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:28 | NORMAL | VLD_TFPR_009 | V=1.483 | KM=4,389 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:07:30 | NORMAL | VLD_TFPR_004 | V=1.521 | KM=10,386 | Tekrar=22 | Tren=0 | Hız=0,0
2025-12-10 21:07:30 | NORMAL | VLD_TFPR_011 | V=1.483 | KM=1,379 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:07:33 | NORMAL | VLD_TFPR_003 | V=1.527 | KM=12,081 | Tekrar=22 | Tren=0 | Hız=0,0
2025-12-10 21:07:33 | NORMAL | VLD_TFPR_004 | V=1.525 | KM=10,386 | Tekrar=23 | Tren=0 | Hız=0,0
2025-12-10 21:07:34 | NORMAL | VLD_TFPR_001 | V=1.516 | KM=15,391 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:07:34 | NORMAL | VLD_TFPR_009 | V=1.486 | KM=4,389 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:07:34 | NORMAL | VLD_TFPR_010 | V=1.480 | KM=3,299 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:07:37 | NORMAL | VLD_TFPR_003 | V=1.529 | KM=12,081 | Tekrar=23 | Tren=0 | Hız=0,0
2025-12-10 21:07:37 | NORMAL | VLD_TFPR_007 | V=1.485 | KM=7,102 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:07:40 | NORMAL | VLD_TFPR_002 | V=1.523 | KM=13,873 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:07:40 | NORMAL | VLD_TFPR_004 | V=1.517 | KM=10,386 | Tekrar=24 | Tren=0 | Hız=0,0
2025-12-10 21:07:40 | NORMAL | VLD_TFPR_009 | V=1.484 | KM=4,389 | Tekrar=18 | Tren=0 | Hız=0,0
2025-12-10 21:07:42 | NORMAL | VLD_TFPR_003 | V=1.514 | KM=12,081 | Tekrar=24 | Tren=0 | Hız=0,0
2025-12-10 21:07:42 | YEŞİL | VLD_TFPR_004 | V=1.721 | KM=10,386 | Tekrar=25 | Tren=0 | Hız=0,0
2025-12-10 21:07:43 | YEŞİL | VLD_TFPR_008 | V=1.316 | KM=5,781 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:07:45 | NORMAL | VLD_TFPR_004 | V=1.524 | KM=10,386 | Tekrar=26 | Tren=0 | Hız=0,0
2025-12-10 21:07:46 | NORMAL | VLD_TFPR_003 | V=1.514 | KM=12,081 | Tekrar=25 | Tren=0 | Hız=0,0
2025-12-10 21:07:46 | NORMAL | VLD_TFPR_005 | V=1.515 | KM=9,070 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:07:46 | NORMAL | VLD_TFPR_010 | V=1.482 | KM=3,299 | Tekrar=12 | Tren=0 | Hız=0,0
2025-12-10 21:07:46 | NORMAL | VLD_TFPR_011 | V=1.479 | KM=1,379 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:07:46 | NORMAL | VLD_TFPR_012 | V=1.484 | KM=0,136 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:07:47 | YEŞİL | VLD_TFPR_005 | V=0 | KM=9,070 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:07:48 | YEŞİL | VLD_TFPR_009 | V=1.299 | KM=4,389 | Tekrar=19 | Tren=0 | Hız=0,0
2025-12-10 21:07:49 | NORMAL | VLD_TFPR_002 | V=1.525 | KM=13,873 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:07:50 | YEŞİL | VLD_TFPR_004 | V=0 | KM=10,386 | Tekrar=27 | Tren=0 | Hız=0,0
2025-12-10 21:07:51 | NORMAL | VLD_TFPR_010 | V=1.490 | KM=3,299 | Tekrar=13 | Tren=0 | Hız=0,0
2025-12-10 21:07:52 | NORMAL | VLD_TFPR_004 | V=1.512 | KM=10,386 | Tekrar=28 | Tren=0 | Hız=0,0
2025-12-10 21:07:52 | NORMAL | VLD_TFPR_012 | V=1.486 | KM=0,136 | Tekrar=10 | Tren=0 | Hız=0,0
2025-12-10 21:07:54 | NORMAL | VLD_TFPR_001 | V=1.521 | KM=15,391 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:07:54 | NORMAL | VLD_TFPR_006 | V=1.488 | KM=8,234 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:07:54 | NORMAL | VLD_TFPR_011 | V=1.489 | KM=1,379 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:07:54 | NORMAL | VLD_TFPR_012 | V=1.488 | KM=0,136 | Tekrar=11 | Tren=0 | Hız=0,0
2025-12-10 21:07:55 | YEŞİL | VLD_TFPR_010 | V=1.286 | KM=3,299 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:07:56 | NORMAL | VLD_TFPR_002 | V=1.513 | KM=13,873 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:07:56 | NORMAL | VLD_TFPR_009 | V=1.485 | KM=4,389 | Tekrar=20 | Tren=0 | Hız=0,0
2025-12-10 21:07:57 | NORMAL | VLD_TFPR_003 | V=1.522 | KM=12,081 | Tekrar=26 | Tren=0 | Hız=0,0
2025-12-10 21:07:57 | NORMAL | VLD_TFPR_004 | V=1.520 | KM=10,386 | Tekrar=29 | Tren=0 | Hız=0,0
2025-12-10 21:07:57 | NORMAL | VLD_TFPR_005 | V=1.513 | KM=9,070 | Tekrar=14 | Tren=0 | Hız=0,0
2025-12-10 21:07:57 | NORMAL | VLD_TFPR_010 | V=1.473 | KM=3,299 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:08:00 | NORMAL | VLD_TFPR_008 | V=1.479 | KM=5,781 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:08:02 | NORMAL | VLD_TFPR_009 | V=1.486 | KM=4,389 | Tekrar=21 | Tren=0 | Hız=0,0
2025-12-10 21:08:02 | NORMAL | VLD_TFPR_010 | V=1.484 | KM=3,299 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:08:02 | NORMAL | VLD_TFPR_011 | V=1.481 | KM=1,379 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:08:03 | NORMAL | VLD_TFPR_001 | V=1.515 | KM=15,391 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:08:03 | NORMAL | VLD_TFPR_002 | V=1.525 | KM=13,873 | Tekrar=18 | Tren=0 | Hız=0,0
2025-12-10 21:08:03 | NORMAL | VLD_TFPR_005 | V=1.513 | KM=9,070 | Tekrar=15 | Tren=0 | Hız=0,0
2025-12-10 21:08:03 | NORMAL | VLD_TFPR_007 | V=1.481 | KM=7,102 | Tekrar=9 | Tren=0 | Hız=0,0
2025-12-10 21:08:05 | NORMAL | VLD_TFPR_004 | V=1.521 | KM=10,386 | Tekrar=30 | Tren=0 | Hız=0,0
2025-12-10 21:08:05 | NORMAL | VLD_TFPR_008 | V=1.479 | KM=5,781 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:08:05 | NORMAL | VLD_TFPR_009 | V=1.478 | KM=4,389 | Tekrar=22 | Tren=0 | Hız=0,0
2025-12-10 21:08:05 | NORMAL | VLD_TFPR_010 | V=1.472 | KM=3,299 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:08:05 | NORMAL | VLD_TFPR_011 | V=1.480 | KM=1,379 | Tekrar=16 | Tren=0 | Hız=0,0
2025-12-10 21:08:08 | NORMAL | VLD_TFPR_009 | V=1.474 | KM=4,389 | Tekrar=23 | Tren=0 | Hız=0,0
2025-12-10 21:08:08 | NORMAL | VLD_TFPR_011 | V=1.485 | KM=1,379 | Tekrar=17 | Tren=0 | Hız=0,0
2025-12-10 21:08:08 | NORMAL | VLD_TFPR_012 | V=1.488 | KM=0,136 | Tekrar=12 | Tren=0 | Hız=0,0
